Description,Price,Rating,Review Amount,Link
adidas Men's Grand Court Sneaker,$46.74,4.7 out of 5 stars,"10,321",https://www.amazon.com/adidas-Grand-Court-Black-White/dp/B07DBL9TM7/ref=sr_1_2?dchild=1&keywords=adidas+shoes&qid=1609096977&sr=8-2
adidas Women's Grand Court Sneaker,$49.95,4.7 out of 5 stars,"12,038",https://www.amazon.com/adidas-Womens-Grand-Court-Black/dp/B07DBLFNRW/ref=sr_1_3?dchild=1&keywords=adidas+shoes&qid=1609096977&sr=8-3
adidas Men's Questar Flow Sneaker Running Shoe,$58.41,4.6 out of 5 stars,"3,566",https://www.amazon.com/adidas-Mens-Questar-Sneaker-White/dp/B07S6JXNDJ/ref=sr_1_4?dchild=1&keywords=adidas+shoes&qid=1609096977&sr=8-4
adidas Men's Kaptur Sneaker,$69.95,4.6 out of 5 stars,"3,873",https://www.amazon.com/adidas-Mens-Kaptur-Sneaker-Black/dp/B07KTWKXW8/ref=sr_1_5?dchild=1&keywords=adidas+shoes&qid=1609096977&sr=8-5
adidas Men's Lite Racer Adapt Running Shoe,$52.00,4.6 out of 5 stars,"7,815",https://www.amazon.com/adidas-Racer-Adapt-Running-Black/dp/B071LF7VL8/ref=sr_1_6?dchild=1&keywords=adidas+shoes&qid=1609096977&sr=8-6
adidas Men's Ultraboost 20 Sneaker,$128.00,4.7 out of 5 stars,"4,231",https://www.amazon.com/adidas-Ultraboost-Sneaker-Black-Metallic/dp/B07RGWK5Z9/ref=sr_1_7?dchild=1&keywords=adidas+shoes&qid=1609096977&sr=8-7
adidas Originals Men's Seeley Sneaker,$60.00,4.6 out of 5 stars,"9,117",https://www.amazon.com/adidas-Originals-Seeley-Running-Black/dp/B0106J73HW/ref=sr_1_8?dchild=1&keywords=adidas+shoes&qid=1609096977&sr=8-8
adidas Women's Puremotion Adapt Running Shoe,$64.95,4.6 out of 5 stars,705,https://www.amazon.com/adidas-Womens-Puremotion-Adapt-Running/dp/B0812KTKNS/ref=sr_1_9?dchild=1&keywords=adidas+shoes&qid=1609096977&sr=8-9
adidas Men's CF Lite Racer Byd,$69.95,4.6 out of 5 stars,"4,121",https://www.amazon.com/adidas-Performance-Racer-Black-White/dp/B071P19D3X/ref=sr_1_10?dchild=1&keywords=adidas+shoes&qid=1609096977&sr=8-10
adidas Performance Men's Samba Classic Indoor Soccer Shoe,$54.49,4.6 out of 5 stars,"8,250",https://www.amazon.com/adidas-Samba-Classic-Soccer-Running/dp/B0007PN9ZG/ref=sr_1_11?dchild=1&keywords=adidas+shoes&qid=1609096977&sr=8-11
adidas Men's Lite Racer Adapt Running Shoe,$60.66,4.4 out of 5 stars,"1,096",https://www.amazon.com/adidas-Racer-Adapt-Running-Scarlet/dp/B07T967K37/ref=sr_1_12?dchild=1&keywords=adidas+shoes&qid=1609096977&sr=8-12
COKAFIL Mens Running Shoes Athletic Walking Blade Tennis Shoes Fashion Sneakers,$43.99,4.2 out of 5 stars,"4,288",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06719433BLIVO610NAXZ&url=%2FCOKAFIL-Walking-Running-Athletic-Sneakers%2Fdp%2FB07TPDBV2T%2Fref%3Dsr_1_13_sspa%3Fdchild%3D1%26keywords%3Dadidas%2Bshoes%26qid%3D1609096977%26sr%3D8-13-spons%26psc%3D1&qualifier=1609096977&id=917168606955012&widgetName=sp_mtf
Fila Men’s Memory Workshift Slip Resistant Work Shoe,$37.52,4.3 out of 5 stars,"9,479",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07298842EJ7I0T1ACMND&url=%2FFila-Mens-Memory-Workshift-M-Black%2Fdp%2FB00B8ITJPA%2Fref%3Dsr_1_14_sspa%3Fdchild%3D1%26keywords%3Dadidas%2Bshoes%26qid%3D1609096977%26sr%3D8-14-spons%26psc%3D1&qualifier=1609096977&id=917168606955012&widgetName=sp_mtf
